date,1. open,2. high,3. low,4. close,5. volume
2021-08-30 08:26:00,148.91,148.93,148.91,148.93,2384.0
2021-08-30 08:25:00,148.88,148.9,148.88,148.88,3098.0
2021-08-30 08:24:00,148.84,148.89,148.84,148.88,3944.0
2021-08-30 08:23:00,148.82,148.82,148.82,148.82,184.0
2021-08-30 08:22:00,148.8,148.8,148.8,148.8,444.0
2021-08-30 08:21:00,148.81,148.81,148.8,148.8,1839.0
2021-08-30 08:20:00,148.75,148.8,148.75,148.8,1114.0
2021-08-30 08:19:00,148.83,148.84,148.77,148.78,16051.0
2021-08-30 08:18:00,148.83,148.83,148.82,148.83,3945.0
2021-08-30 08:17:00,148.82,148.82,148.82,148.82,767.0
2021-08-30 08:16:00,148.85,148.87,148.85,148.85,4617.0
2021-08-30 08:15:00,148.84,148.85,148.84,148.85,3364.0
2021-08-30 08:14:00,148.82,148.82,148.82,148.82,853.0
2021-08-30 08:13:00,148.82,148.82,148.82,148.82,631.0
2021-08-30 08:12:00,148.86,148.88,148.86,148.88,4437.0
2021-08-30 08:11:00,148.86,148.88,148.86,148.86,5911.0
2021-08-30 08:10:00,148.81,148.85,148.8,148.84,7000.0
2021-08-30 08:09:00,148.805,148.81,148.79,148.81,6164.0
2021-08-30 08:08:00,148.8,148.8,148.8,148.8,204.0
2021-08-30 08:06:00,148.8,148.8,148.79,148.79,1194.0
2021-08-30 08:05:00,148.82,148.82,148.82,148.82,683.0
2021-08-30 08:04:00,148.82,148.83,148.81,148.83,2682.0
2021-08-30 08:03:00,148.82,148.84,148.82,148.84,1166.0
2021-08-30 08:02:00,148.8,148.83,148.229,148.8201,3518.0
2021-08-30 08:01:00,148.81,148.83,148.7,148.81,29824.0
2021-08-30 07:59:00,148.78,148.78,148.78,148.78,795.0
2021-08-30 07:58:00,148.76,148.77,148.76,148.77,821.0
2021-08-30 07:56:00,148.74,148.74,148.74,148.74,379.0
2021-08-30 07:54:00,148.74,148.74,148.74,148.74,445.0
2021-08-30 07:53:00,148.74,148.74,148.74,148.74,179.0
2021-08-30 07:51:00,148.72,148.72,148.71,148.71,684.0
2021-08-30 07:49:00,148.72,148.72,148.72,148.72,320.0
2021-08-30 07:48:00,148.71,148.71,148.7,148.7,788.0
2021-08-30 07:47:00,148.7,148.7,148.7,148.7,3951.0
2021-08-30 07:46:00,148.74,148.74,148.7,148.71,3366.0
2021-08-30 07:45:00,148.77,148.77,148.76,148.76,698.0
2021-08-30 07:44:00,148.75,148.75,148.75,148.75,3410.0
2021-08-30 07:43:00,148.75,148.75,148.75,148.75,324.0
2021-08-30 07:41:00,148.76,148.76,148.76,148.76,375.0
2021-08-30 07:37:00,148.78,148.78,148.78,148.78,363.0
2021-08-30 07:36:00,148.79,148.79,148.79,148.79,720.0
2021-08-30 07:35:00,148.79,148.8,148.79,148.8,417.0
2021-08-30 07:34:00,148.79,148.79,148.79,148.79,257.0
2021-08-30 07:32:00,148.77,148.8,148.77,148.8,2488.0
2021-08-30 07:29:00,148.79,148.79,148.79,148.79,353.0
2021-08-30 07:28:00,148.8,148.8,148.8,148.8,940.0
2021-08-30 07:27:00,148.82,148.82,148.82,148.82,217.0
2021-08-30 07:26:00,148.83,148.84,148.8,148.8,1125.0
2021-08-30 07:25:00,148.8,148.8,148.8,148.8,988.0
2021-08-30 07:24:00,148.79,148.79,148.79,148.79,1225.0
2021-08-30 07:23:00,148.79,148.79,148.79,148.79,572.0
2021-08-30 07:22:00,148.8,148.81,148.8,148.81,936.0
2021-08-30 07:21:00,148.79,148.79,148.79,148.79,2252.0
2021-08-30 07:19:00,148.78,148.79,148.78,148.79,1322.0
2021-08-30 07:16:00,148.77,148.78,148.77,148.78,1079.0
2021-08-30 07:14:00,148.76,148.76,148.76,148.76,117.0
2021-08-30 07:11:00,148.76,148.76,148.74,148.74,6635.0
2021-08-30 07:10:00,148.77,148.77,148.77,148.77,259.0
2021-08-30 07:08:00,148.77,148.77,148.74,148.74,1648.0
2021-08-30 07:06:00,148.8,148.8,148.8,148.8,509.0
